Author,Restaurant,Review,URL,Author count,F1,Mons ago,Stars
諸利福,聖華宮素菜餐廳 (台中店),None,https://maps.google.com/?cid=14602419425015143000,55,5779274,,1
諸利福,阿秋大肥鵝餐廳-旗艦店,None,https://maps.google.com/?cid=7822610273349447537,55,5341413,,1
諸利福,非常棧港式海鮮餐廳,None,https://maps.google.com/?cid=16456005545227830607,55,5465867,,1
Vincent Osamu Tada,品嘉茶餐廳（北屯店）,客人很多的時候 音樂不要太大 已經夠吵,https://maps.google.com/?cid=618326093217197856,56,5735666,,1
Vincent Osamu Tada,嵐山熟成牛かつ專売-台中西屯青海店,"(由 Google 提供翻譯) 店員態度不好-我再也不會來了

(原始評論)
店員の態度が悪い　二度と来ない",https://maps.google.com/?cid=18258390996979580925,56,5928763,,1
Vincent Osamu Tada,添好運 台中J-Mall店,"(由 Google 提供翻譯) 小孩吵
最近這家商店的顧客很少
其他座位也有相同的空位

大田大帶

(原始評論)
少し子供がうるさい
最近この店の客が少ないですね
他の店も同じように　空いた席が目立ちます

音樂太大",https://maps.google.com/?cid=3442400601418908421,56,5800412,,1
shiang ao,???泉拉麵 man-lai,味道普普的台式拉麵，沒有特色也不美味,https://maps.google.com/?cid=18242192097164415822,56,7817077,,1
shiang ao,?德德式烘焙餐館 (天母店),"德國菜不正統，比起在德國吃到的差多了。
價位也太高貴，覺得台灣人真好騙。",https://maps.google.com/?cid=6208534812169060684,56,7917251,,1
shiang ao,BRICK YARD 33 1/3美軍俱樂部(大樂司文創股份有限公司),食物及服務配不上這個環境，另，把泳池填起來實在可惜了,https://maps.google.com/?cid=6011962282694358136,56,7589406,,1
shiang ao,Dozo創作和食居酒屋,貴，食物普通已沒印象。服務不佳，追求聲光效果的人可能會喜歡吧，但我覺得這不是一個好吃飯的地方。,https://maps.google.com/?cid=6568619125251425166,56,7964658,,1
shiang ao,八里BaLi水灣四季景觀餐廳,帶位給了我們菜單什麼都沒說就離開，按了三次鈴無人理會，最後來了點餐才說只能點套餐，一份最少750起跳，食材看起來也沒那價值。 我們後來直接走人去別地方用餐了，不會再訪。,https://maps.google.com/?cid=9567796734591642527,56,3700842,,1
shiang ao,吳家牛肉麵,"麵體變得很不好吃，咬下去硬，吃起來糊.
跟店家反應得到的回應是“不會吧，有嗎？“
常客的意見這麼不重視，也枉費你的賣麵賣的這麼久，真是退步了，應不會再訪！",https://maps.google.com/?cid=17959385427959991020,56,7677648,,1
shiang ao,巧之味手工水餃 濟南店,水餃真的不怎麼樣，還吃到硬骨。酸辣湯真的很糟糕，胡椒的辣很辣，其餘沒有什麼味道，連酸也沒酸，也不香，料也不多，一碗稠稠的讓我食不下嚥。,https://maps.google.com/?cid=11441465519960426927,56,7543501,,1
shiang ao,茉莉漢堡,已非以前的茉莉漢堡水準。,https://maps.google.com/?cid=3503527087440852918,56,8300317,,1
shiang ao,誠記越南麵食館,以前很不錯吃，現在差多了。隔壁的老太太吃了一口就結帳走了說跟以前差太多。,https://maps.google.com/?cid=7545487733953478944,56,7754370,,1
壞逗逗,丹丹漢堡 鼎中店,None,https://maps.google.com/?cid=1721942213920674510,57,2107632,,1
壞逗逗,千葉火鍋(三重集賢尊爵店),None,https://maps.google.com/?cid=16113327364546780025,57,3633414,,1
壞逗逗,台中市第四信用合作社,"(由 Google 提供翻譯) 冰店

(原始評論)
冰店",https://maps.google.com/?cid=5575081820762660634,57,6062822,,1
壞逗逗,廖家牛肉麵,None,https://maps.google.com/?cid=15161625063021558251,57,7981558,,1
壞逗逗,彭園三重館｜婚宴場地 · 活動場地 · 春酒尾牙 ‧ 公司聚餐 ‧ 年菜外帶,None,https://maps.google.com/?cid=6713071522930535995,57,4209385,,1
壞逗逗,新天地梧棲創始店,None,https://maps.google.com/?cid=13001011774238088667,57,5533362,,1
壞逗逗,洪記涼麵,None,https://maps.google.com/?cid=517475027409411204,57,4041559,,1
壞逗逗,海產大王會館 海之悅會館,None,https://maps.google.com/?cid=1172016527451381506,57,4336500,,1
壞逗逗,海霸王 海山店,None,https://maps.google.com/?cid=3649626052252694766,57,3692969,,1
壞逗逗,燒肉眾精緻炭火燒肉(三重自強店),None,https://maps.google.com/?cid=3260440151719451253,57,3623229,,1
壞逗逗,王塔米糕店,"(由 Google 提供翻譯) 筒仔米糕的糯米太糊了

(原始評論)
筒仔米糕的糯米太糊了",https://maps.google.com/?cid=8950535417995672563,57,5910462,,1
壞逗逗,雲林鵝肉海鮮城,None,https://maps.google.com/?cid=11516792574459098118,57,3950021,,1
壞逗逗,麥當勞-中和連城店,None,https://maps.google.com/?cid=4320029355936368110,57,4242292,,1
壞逗逗,鼎泰豐 信義店,None,https://maps.google.com/?cid=10663098530229991004,57,7399160,,1
Dayday Ca,美觀園日本料理,None,https://maps.google.com/?cid=15057307006735912177,58,7637001,,1
陳羿杉,八丼手作日式料理,None,https://maps.google.com/?cid=16140896038402199372,58,1202408,,1
陳羿杉,噶瑪蘭海產店,None,https://maps.google.com/?cid=9493767175406295100,58,1187181,,1
陳羿杉,家咖哩總店,None,https://maps.google.com/?cid=16670549033913861972,58,1144527,,1
陳羿杉,常春藤素食(Buffet)吃到飽餐廳,None,https://maps.google.com/?cid=10670690919564098982,58,1185262,,1
陳羿杉,闔家歡餐廳,None,https://maps.google.com/?cid=449785312806728876,58,1169535,,1
陳羿杉,麥當勞-花蓮中正店,None,https://maps.google.com/?cid=1685667704079222140,58,1167597,,1
Mia Chiu,一頭牛日式燒肉 清酒 公益店,"兩人套餐加單點飲料吃了2300元，肉質還好，蔥都乾掉了，不如小火鍋店新鮮，可爾必思沒有加雪碧特調，就一般全聯販售的可爾必思濃縮汁加水，蝦子感覺已經沒有很新鮮，沾醬很普通，而且完全沒有去油膩的沾醬，都是醬油類的，還有一個沾醬吃起來讓我聯想到蒜泥白肉便當.....吃到後來太油膩覺得反胃.....
免費提供的湯味道也很普通。
一樓座位不符合人體工學，桌椅很矮，吃起來很痛苦。
*這樣要兩千多塊CP值很低，有被騙的感覺，不會再去。*
花這麼多錢我都可以吃法森小館了（台中知名法式餐廳）！！
如果要吃燒烤建議多走幾步路去隔壁屋馬吃！",https://maps.google.com/?cid=15114916852536441074,59,5611533,,1
Mia Chiu,花琢日式料理,不新鮮，還有酸臭等食物壞掉的味道,https://maps.google.com/?cid=14700485583712480808,59,3993600,,1
兔紙,Bun Bun 棒棒 國美總店,"態度不太好，價位偏高
適合拍網美照的一次店",https://maps.google.com/?cid=2535724966029682574,59,5997232,,1
兔紙,Nagi豚骨拉麵 凪 - 台中店,選淡的還是很鹹,https://maps.google.com/?cid=12426718628884959865,59,5580344,,1
兔紙,寶達港式餐廳,"服務態度超差
腸粉皮超厚",https://maps.google.com/?cid=4375031331495617442,59,5851338,,1
兔紙,屋馬燒肉文心店,"3點開始在門口等到3:20才入場點餐
4:30就開始催說只能吃到5點，明明用餐時間是兩小時，5個人吃只有一個爐子，把我們三盤拿走說要幫我們烤，我們桌上都全部烤完了還沒拿來，不如我們自己烤比較快
服務生還臭臉",https://maps.google.com/?cid=256333347632703336,59,5914474,,1
兔紙,麥當勞(高雄九如一路店),None,https://maps.google.com/?cid=15083527684058943561,59,2211990,,1
Kitsune W,Olimato 奧樂美特,"你們英才分店真是超級難吃的
我沒吃過那麼柴，不入味又乾的雞
骰子牛在上面刻數字都可以直接拿起來當骰子了
超老超硬的！！！

是煮太久！！！
整個乾掉
那已經不是全熟了
是12分熟！！！
跟嫩精沒有關係！！！
會煮飯的人都分的出什麼是煮太老
還是加嫩精，可嗎？",https://maps.google.com/?cid=14943532686045795985,60,5777437,,1
Kitsune W,康寶十全藥燉排骨,"(由 Google 提供翻譯) 味素超多

(原始評論)
味素超多",https://maps.google.com/?cid=4240392140379901121,60,5537288,,1
Kitsune W,御饌臻品-黎明店 / 台中美食 / 家庭聚餐 / Chinese restaurant / Xiaolongbao,貴！味素多！湯包都是皮!!! 蟹黃湯包沒蟹味，XO醬超辣!!!,https://maps.google.com/?cid=3300473983288170249,60,6006292,,1
Kitsune W,摩斯漢堡 台中學士店,裡面一個中年阿伯櫃檯態度有夠差的,https://maps.google.com/?cid=9158714648220249554,60,6013895,,1
Kitsune W,春水堂 大墩店,"一堆阿桑吵死了
吃的貴又非常沒那個價值",https://maps.google.com/?cid=1424451028915388202,60,5500699,,1
Kitsune W,肯德基 KFC - 台中五權店,"雞塊 雞柳條都又乾又冷
而且都還沒什麼肉
咬了2口都是麵粉
都還咬不到肉",https://maps.google.com/?cid=1868390505018235452,60,5514676,,1
Kitsune W,肯德基KFC-台中五權西餐廳,"上次去買時結帳時
櫃台上有跟陰毛",https://maps.google.com/?cid=2184117682393454971,60,5642176,,1
Kitsune W,赤鬼炙燒牛排 崇德店,"一段時間沒來牛排變的超難吃的
肉完全沒肉味
今日好吃排名：

第一：越光米
第二：經典法國球
第三：韭菜",https://maps.google.com/?cid=2565677096651377072,60,5942270,,1
Kitsune W,金苑茶餐廳,我難過,https://maps.google.com/?cid=17242109946564100382,60,5619780,,1
懶舌頭,老乾杯 信義店,"盛名的高檔燒肉店`,
坐吧臺不用自己動手烤肉`,
不過最後一盤店員忙著點菜有點燒焦`,
牛肉選用澳洲和牛`,
可惜吃不出高檔牛肉的質感`,
服務也soso`,
不如到平價點的燒肉店還比餃盡興`.",https://maps.google.com/?cid=10437247309847814951,61,8299160,,1
周林,川味老張牛肉麵店,None,https://maps.google.com/?cid=4184164452086351029,63,8084857,,1
Chen SH,養鍋 Yang Guo 石頭涮涮鍋 (台中大雅店),"味道尚可
感覺服務生沒訓練過
生澀不太會招呼

兌換券換的肉
全部都吃完了就在等那盤肉
送來是更是傻眼根本八花肉
強烈建議不要兌換牛

味道中等
服務不太行",https://maps.google.com/?cid=16814480192325374358,64,6022554,,1
Kaier CHU,卓仔魚店,台式海產店，寫著日式精緻料理，看照片就知道了！菜色太普通，還有沒價目表！小心哦！,https://maps.google.com/?cid=14936167288570474,64,4152090,,1
Kaier CHU,打狗霸 TAKAO1972 昆明店,"只有空間大，其他都需要非常加強改善。
這杯很醋哦！",https://maps.google.com/?cid=6168393664344703099,64,7567815,,1
Kaier CHU,歐鄉牛排館,"餐廳對員工不信任，導致消費者的反感！

第一線的服務人員非常的親切又專業，餐點的表現也不錯，唯有主餐是菲力牛排的熟度控制不好，點五分熟的熟度送來已經接近全熟，幾乎是咬不動，反應後第一線服務人員馬上幫我們換餐，第二次送餐來就還好（我個人覺得是師傅太忙火侯太大了吧？導致牛排熟度難控制）。
用餐環境還不錯，唯獨排風設備不好，煙燻味久久都在，回家一定要洗頭哈哈。
最後是結帳，原本餐廳的美意是當月壽星有折扣，但餐廳堅持要留下身份證影本才能享有優惠（影本雖然已經有遮蓋照片但還是留下全名等一些資料），但第一線工作人員已經核對過消費者的身分證正本了（這已經是消費者提供最好隱私權的証明）為什麼還要留下身份証影本這麼爭議的文件，為了保護我們自己的個資我們放棄了我們的權利（不使用折扣），但也使我們對餐廳徹底的失望！

這一顆心是留給辛苦的第一線服務人員",https://maps.google.com/?cid=5449439322102741559,64,1154264,,1
Kaier CHU,莊記牛肉麵,"在地小吃
價格看似便宜，但看圖説明如下
用的是牛腩、大小約十元硬幣很小一塊總共5小塊。
牛腩很鹹、湯很油，麵條更是一般。
主食已經很重口味了，小菜也很重口味，所以入口處有設置了飲水機供用餐人喝。",https://maps.google.com/?cid=17108380725540240637,64,831483,,1
Kaier CHU,赤鬼炙燒牛排 崇德店,"確定是個雷、CP值超低！
主餐一般般，麵包乾柴，湯品、配菜粗糙，小菜更是不可領教。一般傳統牛排店都比它OK。洗手間是在店外，因為在店外所以環境衛生條件也非常需要改善，如果你是餐前去會影響食慾，餐後去那就⋯⋯，店內的通風設備不佳，吃完全身都是味道。
出餐速度令人無法接受：當你自取湯品及飲料後，湯品都還沒喝完，附餐已經來了，拿起麵包還在塗奶油，牛排來了，一起上，熱麵包、熱湯、熱蒸蛋、三分熟的牛排，請問大家，你要先吃什麼？把小小的餐桌，排到滿滿，送餐人員還差一點把湯品打翻，唉！這是什麼概念的服務，這是令人感到非常失望的。
此外自己用電腦點餐，飲料湯品自取，服務人員只是帶位到結帳及送主附餐共四個人，這服務費付的很⋯⋯；最主要的是每個服務人員，不論是接待、送餐、結帳人員完全是冷漠的。",https://maps.google.com/?cid=2565677096651377072,64,5941644,,1
Kaier CHU,阿霞燒肉飯,None,https://maps.google.com/?cid=16529167107172539858,64,2268716,,1
蔡明展,極黑家 阿義腿庫飯,沒青菜，排骨很鹹腿庫又太爛，加點就加錢，比去土城的車站腿庫飯cp值不到一半,https://maps.google.com/?cid=1652932153904976505,64,4170562,,1
蔡明展,洪記涼麵,一般般，可能位在中和員山地區往南勢角新店的要道所以大家貪圖方便就好，但是生意是好，外面的交通亂是你家的事，上班時間還要勞動警察杯杯來維持交通，這種店家再好吃卻要社會付出成本我是不會去的,https://maps.google.com/?cid=517475027409411204,64,4040437,,1
蔡明展,生猛活海鮮餐廳,朋友不太會點菜，但負責點菜的是十二萬分的不專業，有點生魚片，餐廳也推薦一魚三吃，哈!一吃是生魚片，生意是不錯，但卻不專業，負責點菜人員是餐廳的靈魂之一，另一個是大廚,https://maps.google.com/?cid=3000895462381124144,64,4185956,,1
蔡明展,福伯黃金雞,非假日，客人多到要排隊後餐，不過鹹豬肉太柴，雞肉也不是啥黃金雞，炒的菜太爛，總之當一次凱子就好,https://maps.google.com/?cid=2514561037925364078,64,2738663,,1
Bb Lin,LA ONE Kitchen 歐陸廚房 - 博愛店,剛開幕的時候還不錯。現在變成台味大雷,https://maps.google.com/?cid=12154110531108778893,65,2196864,,1
Bb Lin,WOO Taiwan 旗艦店,宣傳成打卡聖地，可惜明眼人一看硬體就是簡陋不堪純粹只靠可搬移擺飾降成本。廁所味靠後面的用餐區皆可聞。桌桌緊緊相靠擁擠，餐點一不是泰式，二香料無味，三價無所值。一碗飯賣25，阿杜吃到飽的飯都還比較香，真佩服他的行銷,https://maps.google.com/?cid=9522310995371284433,65,2205195,,1
Bb Lin,【麵屋祥】東京醬油拉麵,"這是沾麵的濃度，不是濃湯的濃度。湯過鹹濃沒有層次，肉多但沒特色。適合喜歡吃到飽腎肝良好者。
店家各式規定進了門就該尊重，只是在日本從南到北不下百家的經驗，真沒遇過要客人擦桌子，衛生紙要拿去門口垃圾桶丟。",https://maps.google.com/?cid=16004604392938643901,65,2239786,,1
Bb Lin,咕嚕咕嚕家?????—漢神成功總店,"豬排肉乾乾的就靠著咖哩塊再製的醬汁提供味道.  環境窄小有油煙, 廚師赤手伸進醬汁裡打勻,  就算吃不出好壞只講求CP 的人還不如去吃肯德基, 至少有戴手套, 環境寬敞 反正一樣是要先付錢然後再等位置",https://maps.google.com/?cid=6728063128138222061,65,2270499,,1
Bb Lin,大牛牛肉麵,沒有層次只有甜味,https://maps.google.com/?cid=14815082670494137459,65,2017840,,1
Bb Lin,河邊海鮮餐廳,去了很多次的老店（家人訂的），每下愈況，連鱔魚的骨頭都沒去，但是仍然訂位滿滿，由此可知在地飲食習慣,https://maps.google.com/?cid=6186148656892884022,65,2227564,,1
Bb Lin,首爾豬,"(由 Google 提供翻譯) 到目前為止，在高雄最糟糕的韓國餐廳

(原始評論)
Worst Korean restaurant in kaohsiung so far",https://maps.google.com/?cid=12297559052175023413,65,2062297,,1
Bb Lin,首爾韓國食堂,很不自然的口味 給學生吃粗飽的,https://maps.google.com/?cid=110299518780118105,65,2237128,,1
Bb Lin,香味海產粥,"(由 Google 提供翻譯) 我可以在家裡輕鬆烹飪，不要聽到炒作的聲音。一定是所有的懷舊記憶

(原始評論)
I can cook this at home easily, don't get what the hype is. must be all the nostalgic memory",https://maps.google.com/?cid=714694013681056526,65,1892739,,1
侯展鴻,亞卓鄉土客家菜,None,https://maps.google.com/?cid=9724893787980774360,65,2756889,,1
侯展鴻,福伯黃金雞,None,https://maps.google.com/?cid=2514561037925364078,65,2740541,,1
侯展鴻,象園餐廳,None,https://maps.google.com/?cid=8188908728833321457,65,4199261,,1
Michael Chien,1961海鮮碳烤,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=7973569091449637937,66,502814,,1
Michael Chien,一葉日本料理餐廳,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=8648565472686020332,66,507489,,1
Michael Chien,壹心燒肉,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=12637060534056620803,66,511229,,1
Michael Chien,大盛居 日韓食堂,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=10986796122260780900,66,514969,,1
Michael Chien,大立餐飲部,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=8907676485330631160,66,505619,,1
Michael Chien,小蒙牛頂級麻辣養生火鍋hotpot家樂福嘉義店,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=3087290681157612615,66,500944,,1
Michael Chien,山越拉麵,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=8205356680359105524,66,497929,,1
Michael Chien,布袋品?海產A8-(推薦漁港人氣必吃)新鮮海鮮美食料理,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=1655353196014475845,66,503749,,1
Michael Chien,手在比薩 Hand on the pizza,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=11788902801026728654,66,514034,,1
Michael Chien,桃花源餐廳嘉義分店,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=16029751004265857631,66,496994,,1
Michael Chien,桔吉力早餐,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=8113263844778189480,66,500009,,1
Michael Chien,民雄鵝肉太郎老店,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=10551688870783344115,66,509359,,1
Michael Chien,民雄鵝肉慶,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=2869133538860737537,66,512164,,1
Michael Chien,老鄰居1911,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=17072820898644414759,66,508424,,1
Michael Chien,肯德基 嘉義垂楊餐廳,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=15649728117612236299,66,504684,,1
Michael Chien,肯德基KFC-嘉義忠孝餐廳,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=1663175911155697484,66,501879,,1
Michael Chien,鐵馬道海鮮餐廳,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=9696420457037790709,66,506554,,1
Michael Chien,阿波鴨肉麵,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=18325724533050985749,66,498864,,1
Michael Chien,雲朵 Clouds 嘉義美食餐廳,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=6779266782488267396,66,510294,,1
Michael Chien,體育館海鮮碳烤,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=10023533971105427033,66,513099,,1
Michael Chien,麥當勞-嘉義中山店,2018/7/1 我和恩師來這裡吃，我卻看到我的恩師受氣，實在看不下去了。,https://maps.google.com/?cid=1496176724285747068,66,496059,,1
吳金樹,千葉火鍋,None,https://maps.google.com/?cid=6303443578316143879,67,2150854,,1
吳金樹,東昇餐廳,None,https://maps.google.com/?cid=8417242026378242322,67,4617497,,1
吳金樹,欣桂竹園餐廳,None,https://maps.google.com/?cid=3349320877868862804,67,2575844,,1
吳金樹,正宗萬巒林家豬腳,None,https://maps.google.com/?cid=14143475682279884228,67,4582411,,1
吳金樹,永心鳳茶同盟店,None,https://maps.google.com/?cid=1099975625186642356,67,2188376,,1
吳金樹,牛相觸花園餐坊,None,https://maps.google.com/?cid=14805721629124246766,67,2795079,,1
吳金樹,甕窯雞屏東店/屏東美食餐廳,None,https://maps.google.com/?cid=2568485736234227640,67,4551533,,1
吳金樹,肯德基KFC-永康中正餐廳,None,https://maps.google.com/?cid=6319604976670754442,67,6775993,,1
吳金樹,阿利海產,None,https://maps.google.com/?cid=5209825380383460618,67,4579631,,1
吳金樹,香蕉新樂園,None,https://maps.google.com/?cid=4621176533909403833,67,5479794,,1
吳金樹,麥當勞-苗栗頭份店,None,https://maps.google.com/?cid=4106767306819250641,67,2550611,,1
吳金樹,鼎泰豐 信義店,None,https://maps.google.com/?cid=10663098530229991004,67,7399154,,1
吳金樹,龍珠灣海鮮餐廳,None,https://maps.google.com/?cid=18303869381860696340,67,2259933,,1
黃大支,一蘭 台灣台北本店,24小時營業的連鎖拉麵屋,https://maps.google.com/?cid=3153630272792140271,67,7381313,,1
Han-uei Lin,油庫口蚵仔麵線-漢生店 Line點餐外送（台北、新北、桃園）、外帶、宵夜、餐廳、下午茶,None,https://maps.google.com/?cid=237038032807070694,68,3984614,,1
nick hsu,KIKI 餐廳(台北東豐店),None,https://maps.google.com/?cid=13940416692208398301,68,8189263,,1
nick hsu,KiKi餐廳(信義誠品店),None,https://maps.google.com/?cid=15238668193543725633,68,8081715,,1
nick hsu,LoCo Food 樂口福,"(由 Google 提供翻譯) 太便宜

(原始評論)
太便宜",https://maps.google.com/?cid=260734604312359671,68,7629356,,1
nick hsu,TASTY西堤台中中科店,None,https://maps.google.com/?cid=9096965770529526526,68,5664944,,1
nick hsu,TASTY西堤牛排台中家樂福文心店,None,https://maps.google.com/?cid=8562506667155950526,68,5722138,,1
nick hsu,TASTY西堤牛排金典綠園道店,None,https://maps.google.com/?cid=3712491671035246804,68,5713323,,1
nick hsu,Toasteria Cafe 吐司利亞,None,https://maps.google.com/?cid=923273904417536416,68,7690026,,1
nick hsu,人本自然七彩神仙魚主題餐廳,"(由 Google 提供翻譯) 很普通

(原始評論)
很普通",https://maps.google.com/?cid=12924795884989160077,68,2753085,,1
nick hsu,夏慕尼新香榭鐵板燒 台北南昌店,None,https://maps.google.com/?cid=1731573374261922272,68,8032139,,1
nick hsu,春水岸,"(由 Google 提供翻譯) 失望

(原始評論)
失望",https://maps.google.com/?cid=12673486676850269074,68,2788803,,1
nick hsu,花山家宣飲麵舖-民權店,"沒去過日本
還敢賣麵
學成歸國在賣麵好嘛",https://maps.google.com/?cid=825466884755263073,68,5987258,,1
呂瑞鴻,Selfish Burger 喀漢堡,東西太貴，質量太少。,https://maps.google.com/?cid=11745060624514047037,68,8119085,,1
呂瑞鴻,亞尼克?子工房,價位偏高，品質有待加強,https://maps.google.com/?cid=8886631833171385995,68,3673632,,1
鄭國楊,水里羊肉王,None,https://maps.google.com/?cid=4128230930214789344,68,2786057,,1
鄭國楊,麥當勞-台中崇德二店,None,https://maps.google.com/?cid=15043678494208789685,68,5659583,,1
顧震亞,Dozo創作和食居酒屋,None,https://maps.google.com/?cid=6568619125251425166,71,7965428,,1
顧震亞,北投麗禧溫泉酒店 Grand View Resort Beitou,None,https://maps.google.com/?cid=14400525343240409243,71,7665418,,1
顧震亞,又見一炊煙,None,https://maps.google.com/?cid=9064896354519328007,71,5518579,,1
顧震亞,口福海鮮餐廳,None,https://maps.google.com/?cid=7583549001033812773,71,1208792,,1
顧震亞,台灣牛肉麵,None,https://maps.google.com/?cid=3765029907730513170,71,1204347,,1
顧震亞,吉祥樓餐廳,None,https://maps.google.com/?cid=2544846016632326176,71,2581718,,1
顧震亞,周氏蝦捲 台南總店,None,https://maps.google.com/?cid=14242664540690312749,71,6489510,,1
顧震亞,品虹橋滬川美饌旗艦店,None,https://maps.google.com/?cid=6696051399910399635,71,5658176,,1
顧震亞,大戶屋南紡購物中心店,None,https://maps.google.com/?cid=12213190765208575032,71,6585791,,1
顧震亞,度小月擔仔麵 中正旗艦店 Du Hsiao Yueh Restaurant,None,https://maps.google.com/?cid=6292011476037664407,71,6676796,,1
顧震亞,德義海鮮餐廳,None,https://maps.google.com/?cid=6323991667232788854,71,4639399,,1
顧震亞,春天素食餐廳（大安店）,None,https://maps.google.com/?cid=291937188455452739,71,8094415,,1
顧震亞,海霸王餐廳,None,https://maps.google.com/?cid=345004169990467975,71,7474782,,1
顧震亞,海龍珠海鮮餐廳,None,https://maps.google.com/?cid=1148001608557138121,71,2349876,,1
顧震亞,福客來中餐廳,None,https://maps.google.com/?cid=16441875186460121224,71,2267203,,1
顧震亞,英吉利活海鮮餐廳,None,https://maps.google.com/?cid=15928144006356755657,71,2580963,,1
顧震亞,阿秋大肥鵝餐廳-旗艦店,None,https://maps.google.com/?cid=7822610273349447537,71,5341420,,1
顧震亞,阿霞飯店,None,https://maps.google.com/?cid=17413689769518743531,71,6635283,,1
顧震亞,鶴山飯館,None,https://maps.google.com/?cid=6206336023175880262,71,2578463,,1
